reservation_status_date,Count,Percentage
2017-04-16,120,0.001005109305636988
2016-07-26,120,0.001005109305636988
2017-08-05,120,0.001005109305636988
2016-08-10,120,0.001005109305636988
2015-11-30,120,0.001005109305636988
2015-09-15,120,0.001005109305636988
2015-10-05,119,0.0009967333947566797
2017-07-30,119,0.0009967333947566797
2017-02-07,119,0.0009967333947566797
2017-07-01,119,0.0009967333947566797
2017-07-14,119,0.0009967333947566797
2016-01-24,119,0.0009967333947566797
2017-08-20,119,0.0009967333947566797
2016-06-27,119,0.0009967333947566797
2016-02-18,119,0.0009967333947566797
2017-06-17,118,0.0009883574838763715
2015-10-08,118,0.0009883574838763715
2016-11-03,118,0.0009883574838763715
2016-01-17,118,0.0009883574838763715
2016-02-19,118,0.0009883574838763715
2016-08-07,117,0.0009799815729960634
2017-08-15,117,0.0009799815729960634
2016-01-20,117,0.0009799815729960634
2017-07-17,117,0.0009799815729960634
2017-08-09,116,0.0009716056621157551
2015-10-15,116,0.0009716056621157551
2015-08-31,116,0.0009716056621157551
2016-11-26,116,0.0009716056621157551
2017-08-19,116,0.0009716056621157551
2017-04-11,116,0.0009716056621157551
2015-11-21,116,0.0009716056621157551
2017-07-23,116,0.0009716056621157551
2017-06-29,116,0.0009716056621157551
2017-06-26,115,0.0009632297512354468
2016-06-04,115,0.0009632297512354468
2017-06-20,115,0.0009632297512354468
2017-06-16,115,0.0009632297512354468
2015-10-26,115,0.0009632297512354468
2015-08-28,115,0.0009632297512354468
2016-12-16,115,0.0009632297512354468
2017-07-21,115,0.0009632297512354468
2017-01-04,114,0.0009548538403551386
2017-04-08,114,0.0009548538403551386
2016-04-02,114,0.0009548538403551386
2016-08-14,114,0.0009548538403551386
2015-12-22,114,0.0009548538403551386
2017-01-07,114,0.0009548538403551386
2017-02-04,114,0.0009548538403551386
2016-03-19,114,0.0009548538403551386
2015-07-24,113,0.0009464779294748304
2016-05-31,113,0.0009464779294748304
2015-11-24,113,0.0009464779294748304
2015-11-06,113,0.0009464779294748304
2016-09-07,113,0.0009464779294748304
2016-06-29,113,0.0009464779294748304
2016-02-13,113,0.0009464779294748304
2017-01-28,112,0.0009381020185945222
2016-07-10,112,0.0009381020185945222
2015-09-06,112,0.0009381020185945222
2017-02-11,112,0.0009381020185945222
2017-07-31,112,0.0009381020185945222
2015-09-29,111,0.0009297261077142139
2015-10-06,111,0.0009297261077142139
2017-08-01,111,0.0009297261077142139
2015-07-17,111,0.0009297261077142139
2015-11-23,111,0.0009297261077142139
2016-02-08,111,0.0009297261077142139
2016-11-09,111,0.0009297261077142139
2017-07-27,111,0.0009297261077142139
2017-06-19,111,0.0009297261077142139
2016-03-26,111,0.0009297261077142139
2017-01-13,111,0.0009297261077142139
2016-12-18,111,0.0009297261077142139
2015-09-26,110,0.0009213501968339057
2017-03-14,110,0.0009213501968339057
2017-03-25,109,0.0009129742859535975
2015-10-20,109,0.0009129742859535975
2015-09-03,109,0.0009129742859535975
2016-12-20,109,0.0009129742859535975
2016-02-11,109,0.0009129742859535975
2017-07-26,109,0.0009129742859535975
2015-11-27,109,0.0009129742859535975
2017-06-24,109,0.0009129742859535975
2015-09-14,109,0.0009129742859535975
2017-08-16,108,0.0009045983750732892
2016-01-07,108,0.0009045983750732892
2015-12-23,108,0.0009045983750732892
2017-01-21,108,0.0009045983750732892
2016-05-27,108,0.0009045983750732892
2017-07-28,107,0.0008962224641929809
2017-05-31,107,0.0008962224641929809
2015-08-04,107,0.0008962224641929809
2015-08-01,107,0.0008962224641929809
2015-07-30,107,0.0008962224641929809
2015-10-02,107,0.0008962224641929809
2017-08-02,106,0.0008878465533126728
2015-10-24,106,0.0008878465533126728
2015-11-01,106,0.0008878465533126728
2017-08-24,106,0.0008878465533126728
2016-09-10,105,0.0008794706424323645
2016-05-07,105,0.0008794706424323645
2016-02-16,105,0.0008794706424323645
2017-03-04,105,0.0008794706424323645
2016-11-22,104,0.0008710947315520563
2017-07-20,104,0.0008710947315520563
2016-01-14,104,0.0008710947315520563
2015-08-13,104,0.0008710947315520563
2017-05-27,104,0.0008710947315520563
2017-06-10,104,0.0008710947315520563
2016-10-08,103,0.0008627188206717481
2017-08-18,103,0.0008627188206717481
2015-09-12,103,0.0008627188206717481
2017-06-21,103,0.0008627188206717481
2016-04-05,103,0.0008627188206717481
2016-11-29,103,0.0008627188206717481
2017-08-26,103,0.0008627188206717481
2017-06-13,103,0.0008627188206717481
2015-09-01,103,0.0008627188206717481
2015-08-09,102,0.0008543429097914398
2017-07-08,102,0.0008543429097914398
2016-12-14,102,0.0008543429097914398
2015-08-18,101,0.0008459669989111316
2016-10-22,101,0.0008459669989111316
2016-01-27,101,0.0008459669989111316
2017-02-18,101,0.0008459669989111316
2017-08-21,101,0.0008459669989111316
2016-08-27,100,0.0008375910880308234
2015-12-14,100,0.0008375910880308234
2016-03-05,100,0.0008375910880308234
2015-06-17,100,0.0008375910880308234
2016-10-01,99,0.0008292151771505151
2015-12-03,99,0.0008292151771505151
2016-01-01,99,0.0008292151771505151
2017-08-06,99,0.0008292151771505151
2015-07-29,99,0.0008292151771505151
2015-07-10,98,0.0008208392662702069
2015-11-19,98,0.0008208392662702069
2015-07-08,98,0.0008208392662702069
2015-07-19,97,0.0008124633553898986
2015-11-29,97,0.0008124633553898986
2015-08-06,97,0.0008124633553898986
2017-06-14,97,0.0008124633553898986
2017-07-19,97,0.0008124633553898986
2015-08-29,96,0.0008040874445095904
2017-07-25,96,0.0008040874445095904
2015-08-08,96,0.0008040874445095904
2016-06-01,96,0.0008040874445095904
2015-06-29,96,0.0008040874445095904
2015-12-07,96,0.0008040874445095904
2015-09-10,96,0.0008040874445095904
2016-12-03,96,0.0008040874445095904
2015-10-30,96,0.0008040874445095904
2015-11-02,95,0.0007957115336292822
2016-12-05,94,0.0007873356227489739
2016-01-15,94,0.0007873356227489739
2017-08-14,94,0.0007873356227489739
2015-08-22,94,0.0007873356227489739
2015-08-25,94,0.0007873356227489739
2016-11-28,93,0.0007789597118686658
2016-12-19,93,0.0007789597118686658
2016-01-31,93,0.0007789597118686658
