children,Count,Percentage
0.0,110796,0.928017421894631
1.0,4861,0.04071530278917832
2.0,3652,0.03058882653488567
3.0,76,0.0006365692269034258
,4,3.350364352123293e-05
10.0,1,8.375910880308233e-06
