adults,Count,Percentage
2,89680,0.7511516877460424
1,23027,0.19287209984085768
3,6202,0.051947399279671666
0,403,0.003375492084764218
4,62,0.0005193064745791105
26,5,4.1879554401541165e-05
5,2,1.6751821760616466e-05
20,2,1.6751821760616466e-05
27,2,1.6751821760616466e-05
6,1,8.375910880308233e-06
10,1,8.375910880308233e-06
40,1,8.375910880308233e-06
50,1,8.375910880308233e-06
55,1,8.375910880308233e-06
