market_segment,Count,Percentage
Online TA,56477,0.47304631878716813
Offline TA/TO,24219,0.20285618561018512
Groups,19811,0.16593517044978642
Direct,12606,0.1055867325571656
Corporate,5295,0.044350448111232094
Complementary,743,0.006223301784069018
Aviation,237,0.0019850908786330514
Undefined,2,1.6751821760616466e-05
