distribution_channel,Count,Percentage
TA/TO,97870,0.8197503978557669
Direct,14645,0.12266521484211408
Corporate,6677,0.05592595694781807
GDS,193,0.0016165507998994891
Undefined,5,4.1879554401541165e-05
