company,Count,Percentage
,112593,0.943068933746545
40.0,927,0.007764469386045732
223.0,784,0.006566714130161655
67.0,267,0.0022363682050422985
45.0,250,0.002093977720077058
153.0,215,0.0018008208392662703
174.0,149,0.0012480107211659268
219.0,141,0.0011810034341234608
281.0,138,0.0011558757014825361
154.0,133,0.001113996147080995
405.0,119,0.0009967333947566797
233.0,114,0.0009548538403551386
51.0,99,0.0008292151771505151
94.0,87,0.0007287042465868163
47.0,72,0.0006030655833821928
135.0,66,0.0005528101181003435
169.0,65,0.0005444342072200352
242.0,62,0.0005193064745791105
331.0,61,0.0005109305636988022
348.0,59,0.0004941787419381858
498.0,58,0.00048580283105787754
110.0,52,0.00043554736577602817
38.0,51,0.0004271714548957199
20.0,50,0.0004187955440154117
91.0,48,0.0004020437222547952
280.0,48,0.0004020437222547952
342.0,48,0.0004020437222547952
62.0,47,0.00039366781137448696
197.0,47,0.00039366781137448696
68.0,46,0.00038529190049417874
270.0,43,0.00036016416785325403
218.0,43,0.00036016416785325403
202.0,38,0.0003182846134517129
195.0,38,0.0003182846134517129
148.0,37,0.00030990870257140466
9.0,37,0.00030990870257140466
307.0,36,0.0003015327916910964
113.0,36,0.0003015327916910964
204.0,34,0.00028478096993047995
308.0,33,0.00027640505905017173
269.0,33,0.00027640505905017173
238.0,33,0.00027640505905017173
86.0,32,0.00026802914816986345
385.0,30,0.000251277326409247
72.0,30,0.000251277326409247
365.0,29,0.00024290141552893877
43.0,29,0.00024290141552893877
343.0,29,0.00024290141552893877
221.0,27,0.0002261495937683223
144.0,27,0.0002261495937683223
178.0,27,0.0002261495937683223
46.0,26,0.00021777368288801408
337.0,25,0.00020939777200770584
418.0,25,0.00020939777200770584
179.0,24,0.0002010218611273976
424.0,24,0.0002010218611273976
227.0,24,0.0002010218611273976
366.0,24,0.0002010218611273976
507.0,23,0.00019264595024708937
477.0,23,0.00019264595024708937
81.0,23,0.00019264595024708937
78.0,22,0.00018427003936678113
88.0,22,0.00018427003936678113
407.0,22,0.00018427003936678113
286.0,21,0.0001758941284864729
216.0,21,0.0001758941284864729
150.0,19,0.00015914230672585644
209.0,19,0.00015914230672585644
523.0,19,0.00015914230672585644
122.0,18,0.0001507663958455482
396.0,18,0.0001507663958455482
292.0,18,0.0001507663958455482
251.0,18,0.0001507663958455482
143.0,17,0.00014239048496523997
163.0,17,0.00014239048496523997
31.0,17,0.00014239048496523997
290.0,17,0.00014239048496523997
193.0,16,0.00013401457408493173
183.0,16,0.00013401457408493173
103.0,16,0.00013401457408493173
127.0,15,0.0001256386632046235
525.0,15,0.0001256386632046235
397.0,15,0.0001256386632046235
408.0,15,0.0001256386632046235
274.0,14,0.00011726275232431528
485.0,14,0.00011726275232431528
82.0,14,0.00011726275232431528
120.0,14,0.00011726275232431528
12.0,14,0.00011726275232431528
263.0,14,0.00011726275232431528
367.0,14,0.00011726275232431528
346.0,14,0.00011726275232431528
268.0,14,0.00011726275232431528
355.0,13,0.00010888684144400704
92.0,13,0.00010888684144400704
428.0,13,0.00010888684144400704
390.0,13,0.00010888684144400704
112.0,13,0.00010888684144400704
203.0,13,0.00010888684144400704
291.0,12,0.0001005109305636988
329.0,12,0.0001005109305636988
380.0,12,0.0001005109305636988
465.0,12,0.0001005109305636988
99.0,12,0.0001005109305636988
409.0,12,0.0001005109305636988
360.0,12,0.0001005109305636988
338.0,12,0.0001005109305636988
435.0,12,0.0001005109305636988
130.0,12,0.0001005109305636988
186.0,12,0.0001005109305636988
333.0,11,9.213501968339056e-05
504.0,11,9.213501968339056e-05
399.0,11,9.213501968339056e-05
108.0,11,9.213501968339056e-05
371.0,11,9.213501968339056e-05
356.0,10,8.375910880308233e-05
450.0,10,8.375910880308233e-05
323.0,10,8.375910880308233e-05
254.0,10,8.375910880308233e-05
37.0,10,8.375910880308233e-05
324.0,9,7.53831979227741e-05
14.0,9,7.53831979227741e-05
421.0,9,7.53831979227741e-05
379.0,9,7.53831979227741e-05
207.0,9,7.53831979227741e-05
107.0,9,7.53831979227741e-05
83.0,9,7.53831979227741e-05
384.0,9,7.53831979227741e-05
317.0,9,7.53831979227741e-05
279.0,8,6.700728704246586e-05
39.0,8,6.700728704246586e-05
34.0,8,6.700728704246586e-05
105.0,8,6.700728704246586e-05
53.0,8,6.700728704246586e-05
215.0,8,6.700728704246586e-05
225.0,7,5.863137616215764e-05
167.0,7,5.863137616215764e-05
521.0,7,5.863137616215764e-05
59.0,7,5.863137616215764e-05
358.0,7,5.863137616215764e-05
437.0,7,5.863137616215764e-05
118.0,7,5.863137616215764e-05
297.0,7,5.863137616215764e-05
388.0,7,5.863137616215764e-05
364.0,6,5.02554652818494e-05
116.0,6,5.02554652818494e-05
22.0,6,5.02554652818494e-05
255.0,6,5.02554652818494e-05
383.0,6,5.02554652818494e-05
511.0,6,5.02554652818494e-05
451.0,6,5.02554652818494e-05
394.0,6,5.02554652818494e-05
159.0,6,5.02554652818494e-05
515.0,6,5.02554652818494e-05
439.0,6,5.02554652818494e-05
28.0,5,4.1879554401541165e-05
459.0,5,4.1879554401541165e-05
16.0,5,4.1879554401541165e-05
341.0,5,4.1879554401541165e-05
302.0,5,4.1879554401541165e-05
42.0,5,4.1879554401541165e-05
470.0,5,4.1879554401541165e-05
277.0,5,4.1879554401541165e-05
357.0,5,4.1879554401541165e-05
149.0,5,4.1879554401541165e-05
48.0,5,4.1879554401541165e-05
49.0,5,4.1879554401541165e-05
490.0,5,4.1879554401541165e-05
180.0,5,4.1879554401541165e-05
287.0,5,4.1879554401541165e-05
293.0,5,4.1879554401541165e-05
377.0,5,4.1879554401541165e-05
530.0,5,4.1879554401541165e-05
443.0,5,4.1879554401541165e-05
410.0,5,4.1879554401541165e-05
444.0,5,4.1879554401541165e-05
