arrival_date_month,Count,Percentage
August,13877,0.11623251528603736
July,12661,0.10604740765558254
May,11791,0.09876036518971439
October,11160,0.09347516542423989
April,11089,0.092880475751738
June,10939,0.09162408911969176
September,10508,0.08801407153027892
March,9794,0.08203367116173883
February,8068,0.06757684898232683
November,6794,0.05690593852081414
December,6780,0.056788675768489824
January,5929,0.049660775609347514
