previous_cancellations,Count,Percentage
0,112906,0.9456905938520814
1,6051,0.05068263673674512
2,116,0.0009716056621157551
3,65,0.0005444342072200352
24,48,0.0004020437222547952
11,35,0.00029315688081078817
4,31,0.00025965323728955524
26,26,0.00021777368288801408
25,25,0.00020939777200770584
6,22,0.00018427003936678113
5,19,0.00015914230672585644
19,19,0.00015914230672585644
14,14,0.00011726275232431528
13,12,0.0001005109305636988
21,1,8.375910880308233e-06
