assigned_room_type,Count,Percentage
A,74053,0.6202613284194656
D,25322,0.21209481531116509
E,7806,0.06538236033168607
F,3751,0.03141804171203618
G,2553,0.02138370047742692
C,2375,0.019892788340732055
B,2163,0.01811709523410671
H,712,0.005963648546779462
I,363,0.003040455649551889
K,279,0.002336879135605997
P,12,0.0001005109305636988
L,1,8.375910880308233e-06
