adr,Count,Percentage
62.0,3754,0.03144316944467711
75.0,2715,0.022740598040036853
90.0,2473,0.020713627607002263
65.0,2418,0.020252952508585307
0.0,1959,0.01640840941452383
80.0,1889,0.015822095652902254
95.0,1661,0.013912387972191976
120.0,1607,0.01346008878465533
100.0,1573,0.01317530781472485
85.0,1538,0.012882150933914063
110.0,1525,0.012773264092470055
60.0,1313,0.010997570985844711
130.0,1275,0.010679286372392998
48.0,1123,0.009406147918586147
115.0,1080,0.009045983750732893
70.0,1044,0.008744450959041796
99.0,905,0.007580199346678951
140.0,866,0.0072535388223469305
126.0,852,0.007136276070022615
108.0,818,0.006851495100092135
170.0,759,0.006357316358153949
160.0,748,0.006265181338470559
89.0,747,0.00625680542759025
68.0,725,0.006072535388223469
105.0,722,0.006047407655582544
135.0,675,0.005653739844208057
79.2,620,0.005193064745791105
89.1,606,0.005075801993466789
117.0,566,0.00474076555825446
62.8,565,0.004732389647374152
109.0,564,0.004724013736493843
88.0,560,0.004690510092972611
72.0,529,0.004430856855683055
94.5,509,0.004263338638076891
79.0,489,0.004095820420470726
66.0,484,0.004053940866069185
98.0,482,0.004037189044308568
96.0,475,0.003978557668146411
55.0,472,0.003953429935505486
67.0,459,0.0038445430940614793
101.5,459,0.0038445430940614793
58.0,455,0.003811039450540246
125.0,445,0.003727280341737164
81.0,431,0.0036100175894128485
74.8,423,0.0035430103023703827
107.1,420,0.003517882569729458
35.0,420,0.003517882569729458
40.0,418,0.0035011307479688417
76.5,417,0.0034927548370885333
50.0,408,0.003417371639165759
80.75,389,0.003258229332439903
104.0,383,0.0032079738671580535
78.0,380,0.003182846134517129
150.0,379,0.0031744702236368204
64.0,370,0.0030990870257140463
84.0,367,0.0030739592930731216
130.5,366,0.0030655833821928136
30.0,365,0.0030572074713125052
85.5,363,0.003040455649551889
45.0,362,0.0030320797386715805
96.3,361,0.003023703827791272
144.0,358,0.0029985760951503474
86.0,357,0.0029902001842700395
42.0,352,0.002948320629868498
43.0,340,0.0028478096993047996
80.1,338,0.002831057877544183
119.0,328,0.0027472987687411007
90.95,326,0.002730546946980484
129.0,324,0.0027137951252198676
54.0,312,0.002613284194656169
72.25,309,0.002588156462015244
116.1,308,0.002579780551134936
87.0,304,0.002546276907613703
36.0,296,0.0024792696205712373
107.0,296,0.0024792696205712373
56.0,296,0.0024792696205712373
39.0,293,0.0024541418879303126
139.5,292,0.002445765977050004
139.0,286,0.0023955105117681548
93.6,282,0.0023620068682469217
112.67,280,0.0023452550464863053
88.4,279,0.002336879135605997
180.0,278,0.002328503224725689
105.3,275,0.0023033754920847643
122.4,263,0.0022028645615210654
114.0,261,0.002186112739760449
46.0,256,0.0021442331853589076
73.0,252,0.002110729541837675
153.0,252,0.002110729541837675
37.8,245,0.002052098165675517
125.1,242,0.0020269704330345925
106.0,241,0.002018594522154284
109.8,238,0.0019934667895133594
76.0,236,0.001976714967752743
38.0,235,0.001968339056872435
121.5,235,0.001968339056872435
190.0,228,0.0019097076807102773
162.0,227,0.0019013317698299691
93.0,226,0.0018929558589496607
124.0,224,0.0018762040371890444
118.0,224,0.0018762040371890444
52.0,223,0.001867828126308736
101.0,223,0.001867828126308736
82.0,219,0.0018343244827875031
126.9,219,0.0018343244827875031
92.0,216,0.0018091967501465784
29.0,215,0.0018008208392662703
91.0,214,0.0017924449283859619
67.5,213,0.0017840690175056537
89.25,212,0.0017756931066253456
128.0,211,0.0017673171957450372
112.0,211,0.0017673171957450372
149.0,209,0.0017505653739844208
145.0,207,0.0017338135522238043
103.5,204,0.0017086858195828796
118.8,203,0.0017003099087025714
112.5,203,0.0017003099087025714
59.0,202,0.0016919339978222632
189.0,195,0.0016333026216601054
230.0,192,0.0016081748890191807
134.0,192,0.0016081748890191807
85.67,187,0.0015662953346176397
136.0,187,0.0015662953346176397
155.0,186,0.0015579194237373315
99.45,184,0.001541167601976715
97.0,184,0.001541167601976715
34.0,183,0.0015327916910964068
123.0,182,0.0015244157802160984
100.3,182,0.0015244157802160984
140.4,181,0.0015160398693357903
149.4,180,0.001507663958455482
137.7,176,0.001474160314934249
71.0,175,0.0014657844040539408
171.0,172,0.0014406566714130161
135.9,172,0.0014406566714130161
63.0,169,0.0014155289387720914
106.2,167,0.001398777117011475
74.0,167,0.001398777117011475
98.1,165,0.0013820252952508585
111.0,164,0.0013736493843705504
44.0,164,0.0013736493843705504
47.0,163,0.001365273473490242
69.0,163,0.001365273473490242
25.0,158,0.001323393919088701
77.0,157,0.0013150180082083926
154.0,155,0.0012982661864477762
159.0,155,0.0012982661864477762
200.0,155,0.0012982661864477762
91.8,154,0.001289890275567468
61.0,154,0.001289890275567468
169.0,152,0.0012731384538068515
102.0,150,0.001256386632046235
37.0,150,0.001256386632046235
121.0,149,0.0012480107211659268
114.3,149,0.0012480107211659268
141.0,147,0.0012312588994053103
168.3,147,0.0012312588994053103
49.0,140,0.0011726275232431527
195.0,138,0.0011558757014825361
146.0,137,0.001147499790602228
198.0,137,0.001147499790602228
123.3,137,0.001147499790602228
152.1,136,0.0011391238797219198
71.1,136,0.0011391238797219198
133.0,134,0.0011223720579613032
94.0,132,0.001105620236200687
138.0,131,0.0010972443253203785
159.3,130,0.0010888684144400704
148.5,130,0.0010888684144400704
97.2,129,0.0010804925035597622
164.0,129,0.0010804925035597622
96.9,128,0.0010721165926794538
