agent,Count,Percentage
105.0,14,0.00011726275232431528
307.0,14,0.00011726275232431528
354.0,14,0.00011726275232431528
129.0,14,0.00011726275232431528
288.0,14,0.00011726275232431528
126.0,14,0.00011726275232431528
393.0,13,0.00010888684144400704
219.0,13,0.00010888684144400704
110.0,12,0.0001005109305636988
484.0,11,9.213501968339056e-05
526.0,10,8.375910880308233e-05
509.0,10,8.375910880308233e-05
324.0,9,7.53831979227741e-05
328.0,9,7.53831979227741e-05
139.0,8,6.700728704246586e-05
481.0,8,6.700728704246586e-05
287.0,8,6.700728704246586e-05
475.0,8,6.700728704246586e-05
344.0,8,6.700728704246586e-05
276.0,8,6.700728704246586e-05
182.0,8,6.700728704246586e-05
275.0,8,6.700728704246586e-05
418.0,8,6.700728704246586e-05
441.0,7,5.863137616215764e-05
92.0,7,5.863137616215764e-05
163.0,7,5.863137616215764e-05
210.0,7,5.863137616215764e-05
141.0,6,5.02554652818494e-05
270.0,6,5.02554652818494e-05
363.0,6,5.02554652818494e-05
72.0,6,5.02554652818494e-05
81.0,6,5.02554652818494e-05
325.0,6,5.02554652818494e-05
508.0,6,5.02554652818494e-05
429.0,5,4.1879554401541165e-05
150.0,5,4.1879554401541165e-05
214.0,5,4.1879554401541165e-05
405.0,5,4.1879554401541165e-05
403.0,4,3.350364352123293e-05
341.0,4,3.350364352123293e-05
430.0,4,3.350364352123293e-05
371.0,4,3.350364352123293e-05
355.0,4,3.350364352123293e-05
180.0,4,3.350364352123293e-05
244.0,4,3.350364352123293e-05
148.0,4,3.350364352123293e-05
295.0,4,3.350364352123293e-05
335.0,4,3.350364352123293e-05
321.0,3,2.51277326409247e-05
426.0,3,2.51277326409247e-05
302.0,3,2.51277326409247e-05
535.0,3,2.51277326409247e-05
370.0,3,2.51277326409247e-05
258.0,3,2.51277326409247e-05
167.0,3,2.51277326409247e-05
25.0,3,2.51277326409247e-05
420.0,3,2.51277326409247e-05
427.0,3,2.51277326409247e-05
303.0,2,1.6751821760616466e-05
510.0,2,1.6751821760616466e-05
107.0,2,1.6751821760616466e-05
404.0,2,1.6751821760616466e-05
438.0,2,1.6751821760616466e-05
61.0,2,1.6751821760616466e-05
282.0,2,1.6751821760616466e-05
135.0,2,1.6751821760616466e-05
449.0,2,1.6751821760616466e-05
331.0,2,1.6751821760616466e-05
469.0,2,1.6751821760616466e-05
283.0,2,1.6751821760616466e-05
476.0,2,1.6751821760616466e-05
269.0,2,1.6751821760616466e-05
414.0,2,1.6751821760616466e-05
384.0,2,1.6751821760616466e-05
461.0,2,1.6751821760616466e-05
122.0,2,1.6751821760616466e-05
211.0,2,1.6751821760616466e-05
179.0,2,1.6751821760616466e-05
391.0,2,1.6751821760616466e-05
232.0,2,1.6751821760616466e-05
227.0,2,1.6751821760616466e-05
454.0,2,1.6751821760616466e-05
106.0,2,1.6751821760616466e-05
337.0,1,8.375910880308233e-06
388.0,1,8.375910880308233e-06
117.0,1,8.375910880308233e-06
358.0,1,8.375910880308233e-06
294.0,1,8.375910880308233e-06
285.0,1,8.375910880308233e-06
406.0,1,8.375910880308233e-06
247.0,1,8.375910880308233e-06
197.0,1,8.375910880308233e-06
300.0,1,8.375910880308233e-06
144.0,1,8.375910880308233e-06
165.0,1,8.375910880308233e-06
450.0,1,8.375910880308233e-06
472.0,1,8.375910880308233e-06
73.0,1,8.375910880308233e-06
483.0,1,8.375910880308233e-06
433.0,1,8.375910880308233e-06
280.0,1,8.375910880308233e-06
114.0,1,8.375910880308233e-06
432.0,1,8.375910880308233e-06
446.0,1,8.375910880308233e-06
451.0,1,8.375910880308233e-06
278.0,1,8.375910880308233e-06
497.0,1,8.375910880308233e-06
444.0,1,8.375910880308233e-06
397.0,1,8.375910880308233e-06
213.0,1,8.375910880308233e-06
333.0,1,8.375910880308233e-06
265.0,1,8.375910880308233e-06
480.0,1,8.375910880308233e-06
93.0,1,8.375910880308233e-06
367.0,1,8.375910880308233e-06
301.0,1,8.375910880308233e-06
267.0,1,8.375910880308233e-06
216.0,1,8.375910880308233e-06
453.0,1,8.375910880308233e-06
291.0,1,8.375910880308233e-06
158.0,1,8.375910880308233e-06
289.0,1,8.375910880308233e-06
70.0,1,8.375910880308233e-06
416.0,1,8.375910880308233e-06
299.0,1,8.375910880308233e-06
346.0,1,8.375910880308233e-06
59.0,1,8.375910880308233e-06
352.0,1,8.375910880308233e-06
408.0,1,8.375910880308233e-06
304.0,1,8.375910880308233e-06
431.0,1,8.375910880308233e-06
90.0,1,8.375910880308233e-06
54.0,1,8.375910880308233e-06
