lead_time,Count,Percentage
395,54,0.0004522991875366446
242,53,0.0004439232766563364
249,53,0.0004439232766563364
433,52,0.00043554736577602817
325,51,0.0004271714548957199
332,50,0.0004187955440154117
298,49,0.00041041963313510346
318,49,0.00041041963313510346
326,47,0.00039366781137448696
462,46,0.00038529190049417874
310,45,0.0003769159896138705
303,45,0.0003769159896138705
372,44,0.00036854007873356225
299,44,0.00036854007873356225
359,44,0.00036854007873356225
293,44,0.00036854007873356225
338,44,0.00036854007873356225
341,42,0.0003517882569729458
444,40,0.0003350364352123293
355,40,0.0003350364352123293
368,40,0.0003350364352123293
437,40,0.0003350364352123293
443,37,0.00030990870257140466
343,36,0.0003015327916910964
348,35,0.00029315688081078817
353,35,0.00029315688081078817
329,35,0.00029315688081078817
319,35,0.00029315688081078817
306,34,0.00028478096993047995
454,33,0.00027640505905017173
398,33,0.00027640505905017173
479,33,0.00027640505905017173
426,32,0.00026802914816986345
419,32,0.00026802914816986345
475,32,0.00026802914816986345
440,32,0.00026802914816986345
447,32,0.00026802914816986345
461,32,0.00026802914816986345
412,32,0.00026802914816986345
284,32,0.00026802914816986345
465,31,0.00025965323728955524
352,31,0.00025965323728955524
356,31,0.00025965323728955524
605,30,0.000251277326409247
626,30,0.000251277326409247
407,29,0.00024290141552893877
385,29,0.00024290141552893877
464,29,0.00024290141552893877
373,29,0.00024290141552893877
422,29,0.00024290141552893877
363,28,0.00023452550464863055
360,27,0.0002261495937683223
434,27,0.0002261495937683223
518,26,0.00021777368288801408
476,26,0.00021777368288801408
504,26,0.00021777368288801408
448,26,0.00021777368288801408
367,25,0.00020939777200770584
409,25,0.00020939777200770584
384,25,0.00020939777200770584
411,24,0.0002010218611273976
542,23,0.00019264595024708937
374,21,0.0001758941284864729
388,20,0.00016751821760616466
340,20,0.00016751821760616466
324,20,0.00016751821760616466
378,19,0.00015914230672585644
357,18,0.0001507663958455482
573,17,0.00014239048496523997
482,17,0.00014239048496523997
594,17,0.00014239048496523997
615,17,0.00014239048496523997
510,17,0.00014239048496523997
601,17,0.00014239048496523997
538,17,0.00014239048496523997
566,17,0.00014239048496523997
503,17,0.00014239048496523997
517,17,0.00014239048496523997
608,17,0.00014239048496523997
622,17,0.00014239048496523997
587,17,0.00014239048496523997
559,17,0.00014239048496523997
496,17,0.00014239048496523997
524,17,0.00014239048496523997
545,17,0.00014239048496523997
489,17,0.00014239048496523997
629,17,0.00014239048496523997
397,17,0.00014239048496523997
531,17,0.00014239048496523997
552,17,0.00014239048496523997
580,17,0.00014239048496523997
331,16,0.00013401457408493173
429,15,0.0001256386632046235
394,15,0.0001256386632046235
345,14,0.00011726275232431528
478,13,0.00010888684144400704
347,12,0.0001005109305636988
450,11,9.213501968339056e-05
408,11,9.213501968339056e-05
361,10,8.375910880308233e-05
521,10,8.375910880308233e-05
410,10,8.375910880308233e-05
507,10,8.375910880308233e-05
467,10,8.375910880308233e-05
493,10,8.375910880308233e-05
354,9,7.53831979227741e-05
490,9,7.53831979227741e-05
406,6,5.02554652818494e-05
471,6,5.02554652818494e-05
381,5,4.1879554401541165e-05
390,4,3.350364352123293e-05
460,3,2.51277326409247e-05
366,3,2.51277326409247e-05
376,3,2.51277326409247e-05
445,3,2.51277326409247e-05
389,3,2.51277326409247e-05
375,2,1.6751821760616466e-05
403,2,1.6751821760616466e-05
362,2,1.6751821760616466e-05
399,2,1.6751821760616466e-05
382,2,1.6751821760616466e-05
387,1,8.375910880308233e-06
458,1,8.375910880308233e-06
424,1,8.375910880308233e-06
532,1,8.375910880308233e-06
400,1,8.375910880308233e-06
463,1,8.375910880308233e-06
737,1,8.375910880308233e-06
370,1,8.375910880308233e-06
435,1,8.375910880308233e-06
371,1,8.375910880308233e-06
380,1,8.375910880308233e-06
709,1,8.375910880308233e-06
