total_of_special_requests,Count,Percentage
0,70318,0.5889773012815144
1,33226,0.27829801490912137
2,12969,0.10862718820671748
3,2497,0.02091464946812966
4,340,0.0028478096993047996
5,40,0.0003350364352123293
