reserved_room_type,Count,Percentage
A,85994,0.7202780802412262
D,19201,0.1608258648127984
E,6535,0.05473657760281431
F,2897,0.02426501382025295
G,2094,0.01753915738336544
B,1118,0.009364268364184605
C,932,0.007806348940447273
H,601,0.005033922439065248
P,12,0.0001005109305636988
L,6,5.02554652818494e-05
